vintage_name|wine_name|year|region|bodega|varietal_name|grape_varieties|price|acidity|intensity|sweetness|tannin|wine_ratings_count|wine_ratings_average|red/white
Can Blau Mas de Can Blau 2020|Mas de Can Blau|2020|Montsant|Can Blau|Tinto de Montsant|Shiraz/Syrah, Cabernet Sauvignon, Cariñena, Garnacha|32.45|3.311428|4.4188013|1.9663745|3.3376732|2437|4.3|white
Pago de Carraovejas Tinto 2020|Tinto|2020|Ribera del Duero|Pago de Carraovejas|Tinto de Ribera del Duero|Tempranillo|42.77|3.5731897|3.9913006|1.8469244|3.454019|73334|4.4|white
Bodegas El Nido Clio 2021|Clio|2021|Jumilla|Bodegas El Nido|Monastrell|Monastrell|49.59|2.9901528|4.135063|2.0133684|2.9365904|27160|4.5|white
Bodegas Vilano Tinto 2021|Tinto|2021|Ribera del Duero|Bodegas Vilano|Tinto de Ribera del Duero|Tempranillo|37.5|3.6129405|3.893195|1.7336193|3.6511405|523|4.5|white
Carmelo Rodero Reserva 2019|Reserva|2019|Ribera del Duero|Carmelo Rodero|Tinto de Ribera del Duero|Tempranillo|36.51|3.7200875|4.0250874|1.8203087|3.5794466|7086|4.4|white
Pago de Cirsus LaA 2018|LaA|2018|Navarra|Pago de Cirsus|Tinto|Grenache., Tempranillo|33.77|3.0711653|4.2084146|1.4491142|3.3510025|237|4.5|white
Adamá Wines Tinto 2011|Tinto|2011|Ribera del Duero|Adamá Wines|Tinto de Ribera del Duero|Tempranillo|42.0|3.5310693|3.9784873|2.0103714|3.0357692|801|4.4|white
Bodegas Ateca Atteca Armas Garnacha Old Vines 2019|Atteca Armas Garnacha Old Vines|2019|Calatayud|Bodegas Ateca|Grenache.|Grenache.|38.15|3.103664|4.757686|1.9249421|3.05077|2760|4.3|white
Bodegas Vilano Tinto 2019|Tinto|2019|Ribera del Duero|Bodegas Vilano|Tinto de Ribera del Duero|Tempranillo|43.45|3.6129405|3.893195|1.7336193|3.6511405|523|4.5|white
Adamá Wines Tinto 2010|Tinto|2010|Ribera del Duero|Adamá Wines|Tinto de Ribera del Duero|Tempranillo|39.0|3.5310693|3.9784873|2.0103714|3.0357692|801|4.4|white
Adamá Wines Tinto 2007|Tinto|2007|Ribera del Duero|Adamá Wines|Tinto de Ribera del Duero|Tempranillo|45.0|3.5310693|3.9784873|2.0103714|3.0357692|801|4.4|white
Finca Rodma Gran Rodma 2020|Gran Rodma|2020|Ribera del Duero|Finca Rodma|Tinto de Ribera del Duero|Tempranillo|49.4|3.4200902|3.8202705|1.331081|3.7073872|59|4.5|white
Bodegas Ateca Atteca Armas Garnacha Old Vines 2021|Atteca Armas Garnacha Old Vines|2021|Calatayud|Bodegas Ateca|Grenache.|Grenache.|33.45|3.103664|4.757686|1.9249421|3.05077|2760|4.3|white
Celler Massis de l'Albera La Garnatxa D En Pitu Gran Reserva Garnatxa Roja Dolça 2012|La Garnatxa D En Pitu Gran Reserva Garnatxa Roja Dolça|2012|Empordà|Celler Massis de l'Albera|Tinto|Grenache., Tempranillo|41.9|2.7180724|3.6769578|3.460994|2.6299698|56|4.5|white
Tridente Rejón Tempranillo 2020|Rejón Tempranillo|2020|Castilla y León|Tridente|Tempranillo|Tempranillo|36.7|2.6937451|4.477487|2.101808|3.736911|3029|4.4|white
Bosque de Matasnos Edicion Limitada 2019|Edicion Limitada|2019|Ribera del Duero|Bosque de Matasnos|Tinto de Ribera del Duero|Tempranillo|39.9|3.5197265|4.111916|2.1080315|3.6271715|1881|4.4|white
Tritium Matiz 2018|Matiz|2018|Rioja|Tritium|Tinto de Rioja|Tempranillo, Graciano, Garnacha|47.17|3.6434147|3.617561|1.767561|3.8143902|56|4.5|white
Luis Cañas Reserva Selección de la Familia 2019|Reserva Selección de la Familia|2019|Rioja|Luis Cañas|Tinto de Rioja|Tempranillo, Graciano, Garnacha|23.9|3.6529343|3.96084|1.7502004|3.720822|16075|4.2|white
Corrales Espinosa José Manuel Corrales 2022|José Manuel Corrales|2022|Valdepeñas|Corrales Espinosa|Tempranillo|Tempranillo|33.25|3.1056323|4.3581443|1.8635284|3.5136995|950|4.5|white
Murua Veguin de Murua Gran Reserva 2015|Veguin de Murua Gran Reserva|2015|Rioja|Murua|Tinto de Rioja|Tempranillo, Graciano, Garnacha|36.7|3.330712|3.8368242|1.7893244|3.3128169|909|4.3|white
Abrera Airaz 2020|Airaz|2020|Vino de Pago|Abrera|Tinto|Grenache., Tempranillo|13.9|3.3359225|3.5973787|2.1437864|3.2650485|38|4.5|white
Balbas Ancestral 2019|Ancestral|2019|Ribera del Duero|Balbas|Tinto de Ribera del Duero|Tempranillo|44.5|3.8334699|3.990679|1.611735|3.9523602|738|4.5|white
Astrales Christina Ribera del Duero 2019|Christina Ribera del Duero|2019|Ribera del Duero|Astrales|Tinto de Ribera del Duero|Tempranillo|44.85|3.7640035|3.871515|1.7928485|3.5634735|1568|4.3|white
Ausàs Interpretación 2021|Interpretación|2021|Ribera del Duero|Ausàs|Tinto de Ribera del Duero|Tempranillo|45.9|3.5441878|3.9438908|1.8317102|3.6209917|3635|4.4|white
Canals Canals Sentiments Priorat 2021|Sentiments Priorat|2021|Priorato|Canals Canals|Tinto de Priorat|Shiraz/Syrah, Cabernet Sauvignon, Grenache., Carignan|12.95|3.4156961|3.811441|1.4571273|3.102211|738|4.0|white
Matarromera Ribera del Duero Reserva 2018|Ribera del Duero Reserva|2018|Ribera del Duero|Matarromera|Tinto de Ribera del Duero|Tempranillo|39.9|3.6454327|3.9688163|1.9179926|3.576894|43395|4.3|white
Matarromera Ribera del Duero Reserva 2017|Ribera del Duero Reserva|2017|Ribera del Duero|Matarromera|Tinto de Ribera del Duero|Tempranillo|38.9|3.6454327|3.9688163|1.9179926|3.576894|43395|4.3|white
Lan Culmen Reserva Rioja 2019|Culmen Reserva Rioja|2019|Rioja|Lan|Tinto de Rioja|Tempranillo, Graciano, Garnacha|45.0|3.8186285|3.989561|1.582597|3.876596|4247|4.4|white
Francisco Barona Tinto 2022|Tinto|2022|Ribera del Duero|Francisco Barona|Tinto de Ribera del Duero|Tempranillo|36.9|3.4670987|4.0192156|2.051357|3.4353163|3126|4.4|white
Hacienda Monasterio Cosecha 2018|Cosecha|2018|Ribera del Duero|Hacienda Monasterio|Tinto de Ribera del Duero|Tempranillo|41.5|3.6319618|3.9380183|1.8585652|3.398974|32629|4.3|white
Benjamin de Rothschild - Vega Sicilia Macán Clásico 2018|Macán Clásico|2018|Rioja|Benjamin de Rothschild - Vega Sicilia|Tinto de Rioja|Tempranillo, Graciano, Garnacha|49.25|3.6252067|3.864472|1.8214166|3.7548685|19510|4.3|white
Emilio Moro Malleolus 2020|Malleolus|2020|Ribera del Duero|Emilio Moro|Tinto de Ribera del Duero|Tempranillo|37.28|3.6734526|3.9323623|1.8321798|3.5038238|39731|4.3|white
Pago de Carraovejas Tinto 2021|Tinto|2021|Ribera del Duero|Pago de Carraovejas|Tinto de Ribera del Duero|Tempranillo|39.75|3.5731897|3.9913006|1.8469244|3.454019|73334|4.4|white
