vintage_name|wine_name|year|region|bodega|varietal_name|grape_names|price|acidity|fizziness|intensity|sweetness|tannin|ratings_count|ratings_average|wine_ratings_count|wine_ratings_average
Territorio Luthier Territorio Luthier Blanco 2020|Territorio Luthier Blanco|2020|Ribera del Duero|Territorio Luthier|White||41.0|3.0||3.294|1.0||104|4.5|104|4.5
Ossian Capitel 2021|Capitel|2021|Castilla y León|Ossian|Verdejo|Verdejo|36.2|3.1574738||2.987014|2.3917017||1451|4.4|1451|4.4
Remírez de Ganuza Rioja Blanco Reserva 2021|Rioja Blanco Reserva|2021|Rioja|Remírez de Ganuza|Blanco de Rioja|Viura|33.5|3.297252||3.943942|1.8596312||520|4.4|520|4.4
Abadía Retuerta LeDomaine Blanco de Guarda 2020|LeDomaine Blanco de Guarda|2020|Abadía Retuerta|Abadía Retuerta|White||37.99|3.1130536||3.3053613|1.6679021||509|4.4|3738|4.3
Abadía Retuerta LeDomaine Blanco de Guarda 2019|LeDomaine Blanco de Guarda|2019|Abadía Retuerta|Abadía Retuerta|White||44.75|3.1130536||3.3053613|1.6679021||493|4.4|3738|4.3
Godeval Revival Godello 2022|Revival Godello|2022|Valdeorras|Godeval|Godello|Godello|39.95|4.15||3.2|1.0||357|4.4|360|4.4
De Los Abuelos Viñedo Barreiros Godello 2022|Viñedo Barreiros Godello|2022|Bierzo|De Los Abuelos|White||23.9|3.1944356||3.398912|1.2703347||343|4.4|343|4.4
Belondrade Belondrade y Lurton 2022|Belondrade y Lurton|2022|Rueda|Belondrade|Verdejo|Verdejo|45.73|3.0818875||2.642937|2.3951266||257|4.4|15120|4.4
Bodega Contador (Benjamín Romeo) Pirata 2019|Pirata|2019|Rioja|Bodega Contador (Benjamín Romeo)|Blanco de Rioja|Viura|48.85|3.036887||4.411038|1.8115095||173|4.4|173|4.4
Attis Sangarida La Guiana Godello 2021|Sangarida La Guiana Godello|2021|Bierzo|Attis|White||39.95|3.0||3.0|1.0||146|4.4|146|4.4
Bodega Contador (Benjamín Romeo) Qué Bonito Cacareaba Blanco 2020|Qué Bonito Cacareaba Blanco|2020|Rioja|Bodega Contador (Benjamín Romeo)|Blanco de Rioja|Viura|44.4|3.2414784||4.403096|2.0967183||145|4.4|2207|4.3
Narupa Vinos Narupa Salicornia Albariño de Costa 2022|Narupa Salicornia Albariño de Costa|2022|Rías Baixas|Narupa Vinos|Albariño|Albariño|21.6|3.456198||1.8269271|2.1762497||142|4.4|142|4.4
Bodega Juan Carlos Sancha Cerro La Isa Blanco 2021|Cerro La Isa Blanco|2021|Rioja|Bodega Juan Carlos Sancha|Blanco de Rioja|Viura|36.3|3.4095383||4.2842054|1.8697436||136|4.4|136|4.4
Telmo Rodriguez Molino Real 2016|Molino Real|2016|Málaga|Telmo Rodriguez|White||49.0|2.35||3.0666666|3.0||73|4.4|829|4.3
