vintage_name|wine_name|year|region|bodega|varietal_name|grape_varieties|price|acidity|intensity|sweetness|tannin|wine_ratings_count|wine_ratings_average|red/white|grape_count|communidad
Territorio Luthier Territorio Luthier Blanco 2020|Territorio Luthier Blanco|2020|Ribera del Duero|Territorio Luthier|White|Albillo Mayor, Purulés|41.0|3.0|3.294|1.0||104|4.5|w|2|Castilla y Leon
Ossian Capitel 2021|Capitel|2021|Castilla y León|Ossian|Verdejo|Verdejo|36.2|3.1574738|2.987014|2.3917017||1450|4.4|w|1|Castilla y Leon
Remírez de Ganuza Rioja Blanco Reserva 2021|Rioja Blanco Reserva|2021|Rioja|Remírez de Ganuza|Rioja White|Viura|33.5|3.297252|3.943942|1.8596312||520|4.4|w|1|La Rioja
Abadía Retuerta LeDomaine Blanco de Guarda 2020|LeDomaine Blanco de Guarda|2020|Abadía Retuerta|Abadía Retuerta|White|Sauvignon Blanc, Verdejo|37.99|3.1043258|3.2980661|1.6660305||3727|4.3|w|2|Castilla y Leon
Abadía Retuerta LeDomaine Blanco de Guarda 2019|LeDomaine Blanco de Guarda|2019|Abadía Retuerta|Abadía Retuerta|White|Sauvignon Blanc, Verdejo|44.75|3.1043258|3.2980661|1.6660305||3727|4.3|w|2|Castilla y Leon
Godeval Revival Godello 2022|Revival Godello|2022|Valdeorras|Godeval|Godello|Godello|39.95|4.15|3.2|1.0||357|4.4|w|1|Galicia
De Los Abuelos Viñedo Barreiros Godello 2022|Viñedo Barreiros Godello|2022|Bierzo|De Los Abuelos|White|Godello|23.9|3.1944356|3.398912|1.2703347||343|4.4|w|1|Castilla y Leon
Belondrade Belondrade y Lurton 2022|Belondrade y Lurton|2022|Rueda|Belondrade|Verdejo|Verdejo|45.89|3.0818875|2.642937|2.3951266||15106|4.4|w|1|Castilla y Leon
Hacienda López de Haro Gran Reserva Classica Blanco 2012|Gran Reserva Classica Blanco|2012|Rioja|Hacienda López de Haro|Rioja White|Viura|48.0|3.3102493|4.450499|1.9740719||267|4.3|w|1|La Rioja
Bodega Contador (Benjamín Romeo) Pirata 2019|Pirata|2019|Rioja|Bodega Contador (Benjamín Romeo)|Rioja White|Viura|48.85|3.036887|4.411038|1.8115095||173|4.4|w|1|La Rioja
